profile_id,user_id,farmer_id_external,agristack_id,aadhaar_token,district_id,taluka_id,village_id,kyc_status,crop_history
1,91,FARM000001,AGR000001,86e5880a-fd99-4b3d-ada5-6fcd87c5a377,7,15,342,VERIFIED,"Soybean,Bajra,Cotton"
2,92,FARM000002,AGR000002,960f483e-265e-4c76-bac0-69b3fc68c88c,6,35,169,REJECTED,"Soybean,Bajra,Cotton"
3,93,FARM000003,AGR000003,73d1285c-7fb5-4c6b-bec9-04dc1616a52c,5,5,329,PENDING,"Soybean,Bajra,Cotton"
4,94,FARM000004,AGR000004,28cb917d-f967-4155-a40a-9e704eefe352,3,28,233,REJECTED,"Soybean,Bajra,Cotton"
5,95,FARM000005,AGR000005,c46f90c1-0403-4ee9-8e20-f228c2d3fa5a,8,13,175,REJECTED,"Soybean,Bajra,Cotton"
6,96,FARM000006,AGR000006,220dd321-12c5-4b9d-819e-2ef7965deafa,4,8,207,VERIFIED,"Soybean,Bajra,Cotton"
7,97,FARM000007,AGR000007,7360b976-bfe0-4d6b-b5ff-8ff03d2d0b90,5,13,40,REJECTED,"Soybean,Bajra,Cotton"
8,98,FARM000008,AGR000008,acd81614-5a88-4917-89fe-b8f568f328cf,1,29,399,VERIFIED,"Soybean,Bajra,Cotton"
9,99,FARM000009,AGR000009,f9ce3ffc-90c2-4a29-9763-4ae893f2168e,4,17,104,REJECTED,"Soybean,Bajra,Cotton"
10,100,FARM000010,AGR000010,e4bf74ef-5b55-4b8f-9813-b9234db2ef42,5,2,472,REJECTED,"Soybean,Bajra,Cotton"
11,101,FARM000011,AGR000011,72cba19e-1d3c-4d29-81a5-4f85c83017ee,1,5,182,VERIFIED,"Soybean,Bajra,Cotton"
12,102,FARM000012,AGR000012,b39bf43e-02b5-4b2f-a337-01671441bf61,7,1,428,REJECTED,"Soybean,Bajra,Cotton"
13,103,FARM000013,AGR000013,67aa9de4-50be-4040-99ac-1f51150253c7,5,36,182,REJECTED,"Soybean,Bajra,Cotton"
14,104,FARM000014,AGR000014,de7d36c9-ee1e-4f82-9c32-5abbdbf29ff5,3,37,324,PENDING,"Soybean,Bajra,Cotton"
15,105,FARM000015,AGR000015,dfe2b460-00f9-4e41-b3ce-798a1731fcca,6,20,54,VERIFIED,"Soybean,Bajra,Cotton"
16,106,FARM000016,AGR000016,d5a15668-2a87-4092-acf9-434ddb2b356f,3,23,216,VERIFIED,"Soybean,Bajra,Cotton"
17,107,FARM000017,AGR000017,49a87052-2b5a-4b51-a176-badfcb29fdc1,8,7,176,VERIFIED,"Soybean,Bajra,Cotton"
18,108,FARM000018,AGR000018,091a1489-b1d8-4977-9422-1d0f324e9807,3,24,399,PENDING,"Soybean,Bajra,Cotton"
19,109,FARM000019,AGR000019,7f19dc86-6fd1-4e42-81e3-7875717f76fe,8,6,467,PENDING,"Soybean,Bajra,Cotton"
20,110,FARM000020,AGR000020,ec427d67-0494-44a5-8206-671f4cb2d87d,6,31,460,VERIFIED,"Soybean,Bajra,Cotton"
21,111,FARM000021,AGR000021,bb9775db-628d-4b65-98dd-87e33211c48f,2,34,289,PENDING,"Soybean,Bajra,Cotton"
22,112,FARM000022,AGR000022,e5e3f0ac-2f0e-42b8-bf97-d86f146b817b,7,14,182,PENDING,"Soybean,Bajra,Cotton"
23,113,FARM000023,AGR000023,3e8b2301-21a6-4db8-a0fc-59615007e6da,1,13,364,PENDING,"Soybean,Bajra,Cotton"
24,114,FARM000024,AGR000024,c7fd2cf6-e3c0-4da2-8832-49c40481a342,7,25,83,PENDING,"Soybean,Bajra,Cotton"
25,115,FARM000025,AGR000025,587b2a69-710a-48e6-97b6-babb5da341c0,3,9,7,VERIFIED,"Soybean,Bajra,Cotton"
26,116,FARM000026,AGR000026,336f59b5-8f14-4726-b653-fda70258da27,4,38,273,PENDING,"Soybean,Bajra,Cotton"
27,117,FARM000027,AGR000027,964a8c10-690f-4587-b3d2-7b09b796670b,1,1,417,VERIFIED,"Soybean,Bajra,Cotton"
28,118,FARM000028,AGR000028,4518fb3b-e41a-49cd-ba4d-8ba4843b0a55,8,3,105,REJECTED,"Soybean,Bajra,Cotton"
29,119,FARM000029,AGR000029,ab35d0c3-d683-4236-a742-f36134050f9f,2,21,174,REJECTED,"Soybean,Bajra,Cotton"
30,120,FARM000030,AGR000030,420feb94-850f-47a3-a948-53172a8e8a40,8,32,394,REJECTED,"Soybean,Bajra,Cotton"
31,121,FARM000031,AGR000031,9e6c0907-543c-4775-8b25-7a53b65658ac,4,1,125,VERIFIED,"Soybean,Bajra,Cotton"
32,122,FARM000032,AGR000032,01a7714b-bc58-4103-a064-05f2b219c485,6,25,451,VERIFIED,"Soybean,Bajra,Cotton"
33,123,FARM000033,AGR000033,e61121cb-8f35-4054-8eb6-9ccf3fa59699,2,38,450,VERIFIED,"Soybean,Bajra,Cotton"
34,124,FARM000034,AGR000034,74078943-a93e-40b4-a09a-020440565b51,4,29,234,REJECTED,"Soybean,Bajra,Cotton"
35,125,FARM000035,AGR000035,1ff50da1-b0a5-428b-b3f8-dfe555b81263,8,5,292,REJECTED,"Soybean,Bajra,Cotton"
36,126,FARM000036,AGR000036,c7ad278f-b30f-47b1-a019-7f0999fc7e43,1,31,87,PENDING,"Soybean,Bajra,Cotton"
37,127,FARM000037,AGR000037,2fd1a6e6-0f19-493b-8af2-0b7e9c516832,4,31,355,PENDING,"Soybean,Bajra,Cotton"
38,128,FARM000038,AGR000038,0d55b075-d1d0-48a2-9a5c-390682c721f3,3,8,466,PENDING,"Soybean,Bajra,Cotton"
39,129,FARM000039,AGR000039,fab8dffc-f08d-4cd4-ba7e-6c1044b8cf02,7,5,359,VERIFIED,"Soybean,Bajra,Cotton"
40,130,FARM000040,AGR000040,b069468c-cf99-4ee2-8854-2e41acce5a89,4,1,201,REJECTED,"Soybean,Bajra,Cotton"
41,131,FARM000041,AGR000041,3f581902-de34-4e13-b50e-3e26cd10bc98,4,3,125,VERIFIED,"Soybean,Bajra,Cotton"
42,132,FARM000042,AGR000042,70233512-42b0-4e70-93e0-dda842b7ba6e,4,1,20,PENDING,"Soybean,Bajra,Cotton"
43,133,FARM000043,AGR000043,2a89a309-e1f9-4474-a558-fce8739d6e44,1,26,124,VERIFIED,"Soybean,Bajra,Cotton"
44,134,FARM000044,AGR000044,28ae61b7-beae-4db9-87d8-39159e6bb2f1,1,36,327,REJECTED,"Soybean,Bajra,Cotton"
45,135,FARM000045,AGR000045,05630f94-bce2-4b42-9ae3-552f3c5179b4,7,17,22,VERIFIED,"Soybean,Bajra,Cotton"
46,136,FARM000046,AGR000046,eadb6360-a091-4b25-ac46-076a1635fbcf,8,2,246,VERIFIED,"Soybean,Bajra,Cotton"
