user_id,email,mobile,password,role,name,is_active
1,state_authority0@krishi.gov,9725763863,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_0,True
2,state_authority1@krishi.gov,9162275869,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_1,True
3,state_authority2@krishi.gov,9644854973,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_2,True
4,state_authority3@krishi.gov,9330530419,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_3,True
5,state_authority4@krishi.gov,9140260662,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_4,True
6,state_authority5@krishi.gov,9192285142,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_5,True
7,state_authority6@krishi.gov,9565623510,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_6,True
8,state_authority7@krishi.gov,9549008934,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_7,True
9,state_authority8@krishi.gov,9175006691,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_8,True
10,state_authority9@krishi.gov,9358409929,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_9,True
11,state_authority10@krishi.gov,9197402358,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_10,True
12,state_authority11@krishi.gov,9691682483,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_11,True
13,state_authority12@krishi.gov,9555824009,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_12,True
14,state_authority13@krishi.gov,9163469421,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_13,True
15,state_authority14@krishi.gov,9987825707,Password@123,STATE_AUTHORITY,STATE_AUTHORITY_14,True
16,divisional_authority0@krishi.gov,9707151283,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_0,True
17,divisional_authority1@krishi.gov,9232931336,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_1,True
18,divisional_authority2@krishi.gov,9339701014,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_2,True
19,divisional_authority3@krishi.gov,9777129422,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_3,True
20,divisional_authority4@krishi.gov,9773701293,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_4,True
21,divisional_authority5@krishi.gov,9725988156,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_5,True
22,divisional_authority6@krishi.gov,9166423868,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_6,True
23,divisional_authority7@krishi.gov,9719659571,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_7,True
24,divisional_authority8@krishi.gov,9728720317,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_8,True
25,divisional_authority9@krishi.gov,9525932421,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_9,True
26,divisional_authority10@krishi.gov,9153246119,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_10,True
27,divisional_authority11@krishi.gov,9337384804,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_11,True
28,divisional_authority12@krishi.gov,9150017772,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_12,True
29,divisional_authority13@krishi.gov,9697714383,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_13,True
30,divisional_authority14@krishi.gov,9242995371,Password@123,DIVISIONAL_AUTHORITY,DIVISIONAL_AUTHORITY_14,True
31,district_authority0@krishi.gov,9410965605,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_0,True
32,district_authority1@krishi.gov,9550047120,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_1,True
33,district_authority2@krishi.gov,9254892713,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_2,True
34,district_authority3@krishi.gov,9680557051,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_3,True
35,district_authority4@krishi.gov,9226478448,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_4,True
36,district_authority5@krishi.gov,9713013910,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_5,True
37,district_authority6@krishi.gov,9431229838,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_6,True
38,district_authority7@krishi.gov,9701571670,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_7,True
39,district_authority8@krishi.gov,9976309003,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_8,True
40,district_authority9@krishi.gov,9832294821,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_9,True
41,district_authority10@krishi.gov,9294053474,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_10,True
42,district_authority11@krishi.gov,9210655224,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_11,True
43,district_authority12@krishi.gov,9724488420,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_12,True
44,district_authority13@krishi.gov,9713326042,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_13,True
45,district_authority14@krishi.gov,9786028113,Password@123,DISTRICT_AUTHORITY,DISTRICT_AUTHORITY_14,True
46,taluka_authority0@krishi.gov,9301724977,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_0,True
47,taluka_authority1@krishi.gov,9499858816,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_1,True
48,taluka_authority2@krishi.gov,9204615284,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_2,True
49,taluka_authority3@krishi.gov,9688136138,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_3,True
50,taluka_authority4@krishi.gov,9864623112,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_4,True
51,taluka_authority5@krishi.gov,9167419149,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_5,True
52,taluka_authority6@krishi.gov,9705985840,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_6,True
53,taluka_authority7@krishi.gov,9163996269,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_7,True
54,taluka_authority8@krishi.gov,9764656492,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_8,True
55,taluka_authority9@krishi.gov,9321146487,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_9,True
56,taluka_authority10@krishi.gov,9633021001,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_10,True
57,taluka_authority11@krishi.gov,9830573909,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_11,True
58,taluka_authority12@krishi.gov,9670930264,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_12,True
59,taluka_authority13@krishi.gov,9559123743,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_13,True
60,taluka_authority14@krishi.gov,9934543046,Password@123,TALUKA_AUTHORITY,TALUKA_AUTHORITY_14,True
61,talathi0@krishi.gov,9437312955,Password@123,TALATHI,TALATHI_0,True
62,talathi1@krishi.gov,9599936196,Password@123,TALATHI,TALATHI_1,True
63,talathi2@krishi.gov,9728742260,Password@123,TALATHI,TALATHI_2,True
64,talathi3@krishi.gov,9586603020,Password@123,TALATHI,TALATHI_3,True
65,talathi4@krishi.gov,9488246102,Password@123,TALATHI,TALATHI_4,True
66,talathi5@krishi.gov,9421872363,Password@123,TALATHI,TALATHI_5,True
67,talathi6@krishi.gov,9366746013,Password@123,TALATHI,TALATHI_6,True
68,talathi7@krishi.gov,9952958473,Password@123,TALATHI,TALATHI_7,True
69,talathi8@krishi.gov,9293023078,Password@123,TALATHI,TALATHI_8,True
70,talathi9@krishi.gov,9850539557,Password@123,TALATHI,TALATHI_9,True
71,talathi10@krishi.gov,9937335688,Password@123,TALATHI,TALATHI_10,True
72,talathi11@krishi.gov,9362096638,Password@123,TALATHI,TALATHI_11,True
73,talathi12@krishi.gov,9187891151,Password@123,TALATHI,TALATHI_12,True
74,talathi13@krishi.gov,9716782763,Password@123,TALATHI,TALATHI_13,True
75,talathi14@krishi.gov,9422390037,Password@123,TALATHI,TALATHI_14,True
76,krushi_sahayak0@krishi.gov,9663925448,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_0,True
77,krushi_sahayak1@krishi.gov,9631627137,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_1,True
78,krushi_sahayak2@krishi.gov,9468804211,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_2,True
79,krushi_sahayak3@krishi.gov,9883235912,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_3,True
80,krushi_sahayak4@krishi.gov,9581932046,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_4,True
81,krushi_sahayak5@krishi.gov,9409170818,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_5,True
82,krushi_sahayak6@krishi.gov,9753864767,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_6,True
83,krushi_sahayak7@krishi.gov,9178598835,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_7,True
84,krushi_sahayak8@krishi.gov,9226772164,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_8,True
85,krushi_sahayak9@krishi.gov,9649683695,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_9,True
86,krushi_sahayak10@krishi.gov,9548955962,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_10,True
87,krushi_sahayak11@krishi.gov,9277126709,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_11,True
88,krushi_sahayak12@krishi.gov,9912973887,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_12,True
89,krushi_sahayak13@krishi.gov,9467279627,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_13,True
90,krushi_sahayak14@krishi.gov,9263192149,Password@123,KRUSHI_SAHAYAK,KRUSHI_SAHAYAK_14,True
91,farmer0@krishi.com,9625020128,Farmer@123,FARMER,Avinash Patil,True
92,farmer1@krishi.com,9817491316,Farmer@123,FARMER,Mahadevi Pawar,True
93,farmer2@krishi.com,9715281916,Farmer@123,FARMER,Rohini Shaikh,True
94,farmer3@krishi.com,9465203600,Farmer@123,FARMER,Arif Shaikh,True
95,farmer4@krishi.com,9738199795,Farmer@123,FARMER,Avinash Pawar,True
96,farmer5@krishi.com,9955656247,Farmer@123,FARMER,Avinash Patil,True
97,farmer6@krishi.com,9200497933,Farmer@123,FARMER,Shriram Kadam,True
98,farmer7@krishi.com,9848443217,Farmer@123,FARMER,Arif Patil,True
99,farmer8@krishi.com,9165143298,Farmer@123,FARMER,Arif Jadhav,True
100,farmer9@krishi.com,9432438386,Farmer@123,FARMER,Arif Pawar,True
101,farmer10@krishi.com,9831472844,Farmer@123,FARMER,Rohini Kadam,True
102,farmer11@krishi.com,9405582123,Farmer@123,FARMER,Arif Kadam,True
103,farmer12@krishi.com,9817960391,Farmer@123,FARMER,Shriram Patil,True
104,farmer13@krishi.com,9595741540,Farmer@123,FARMER,Shriram Wagh,True
105,farmer14@krishi.com,9755969870,Farmer@123,FARMER,Mahadevi Kadam,True
106,farmer15@krishi.com,9163301824,Farmer@123,FARMER,Ankush Shaikh,True
107,farmer16@krishi.com,9238878003,Farmer@123,FARMER,Arif Wagh,True
108,farmer17@krishi.com,9527239380,Farmer@123,FARMER,Avinash Kadam,True
109,farmer18@krishi.com,9186523513,Farmer@123,FARMER,Ankush Kadam,True
110,farmer19@krishi.com,9531262237,Farmer@123,FARMER,Sunita Shaikh,True
111,farmer20@krishi.com,9247023327,Farmer@123,FARMER,Rohini Kadam,True
112,farmer21@krishi.com,9690793751,Farmer@123,FARMER,Shriram Jadhav,True
113,farmer22@krishi.com,9545921235,Farmer@123,FARMER,Shriram Jadhav,True
114,farmer23@krishi.com,9508495730,Farmer@123,FARMER,Ankush Wagh,True
115,farmer24@krishi.com,9189104138,Farmer@123,FARMER,Ankush Wagh,True
116,farmer25@krishi.com,9349061789,Farmer@123,FARMER,Arif Wagh,True
117,farmer26@krishi.com,9112952615,Farmer@123,FARMER,Avinash Pawar,True
118,farmer27@krishi.com,9295789171,Farmer@123,FARMER,Shriram Shaikh,True
119,farmer28@krishi.com,9104395478,Farmer@123,FARMER,Ankush Kadam,True
120,farmer29@krishi.com,9674012672,Farmer@123,FARMER,Shriram Pawar,True
121,farmer30@krishi.com,9708104260,Farmer@123,FARMER,Shriram Wagh,True
122,farmer31@krishi.com,9841411915,Farmer@123,FARMER,Rohini Pawar,True
123,farmer32@krishi.com,9763135165,Farmer@123,FARMER,Arif Jadhav,True
124,farmer33@krishi.com,9894337824,Farmer@123,FARMER,Mahadevi Kadam,True
125,farmer34@krishi.com,9937485860,Farmer@123,FARMER,Rohini Jadhav,True
126,farmer35@krishi.com,9956709736,Farmer@123,FARMER,Sunita Kadam,True
127,farmer36@krishi.com,9527424008,Farmer@123,FARMER,Avinash Kadam,True
128,farmer37@krishi.com,9211172107,Farmer@123,FARMER,Avinash Jadhav,True
129,farmer38@krishi.com,9529972001,Farmer@123,FARMER,Mahadevi Wagh,True
130,farmer39@krishi.com,9172313951,Farmer@123,FARMER,Ankush Kadam,True
131,farmer40@krishi.com,9274271721,Farmer@123,FARMER,Mahadevi Shaikh,True
132,farmer41@krishi.com,9745025986,Farmer@123,FARMER,Mahadevi Patil,True
133,farmer42@krishi.com,9100250482,Farmer@123,FARMER,Sunita Wagh,True
134,farmer43@krishi.com,9676189932,Farmer@123,FARMER,Mahadevi Shaikh,True
135,farmer44@krishi.com,9758995368,Farmer@123,FARMER,Mahadevi Patil,True
136,farmer45@krishi.com,9323287495,Farmer@123,FARMER,Sunita Kadam,True
137,farmer46@krishi.com,9259504871,Farmer@123,FARMER,Arif Shaikh,True
138,farmer47@krishi.com,9473006684,Farmer@123,FARMER,Sunita Shaikh,True
139,farmer48@krishi.com,9609116260,Farmer@123,FARMER,Mahadevi Patil,True
140,farmer49@krishi.com,9624059081,Farmer@123,FARMER,Avinash Kadam,True
141,farmer50@krishi.com,9619513506,Farmer@123,FARMER,Shriram Patil,True
142,farmer51@krishi.com,9254744982,Farmer@123,FARMER,Mahadevi Jadhav,True
143,farmer52@krishi.com,9467902431,Farmer@123,FARMER,Arif Shaikh,True
144,farmer53@krishi.com,9613916392,Farmer@123,FARMER,Rohini Jadhav,True
145,farmer54@krishi.com,9273343387,Farmer@123,FARMER,Sunita Patil,True
146,farmer55@krishi.com,9320347933,Farmer@123,FARMER,Sunita Shaikh,True
147,farmer56@krishi.com,9257413274,Farmer@123,FARMER,Arif Pawar,True
148,farmer57@krishi.com,9129036651,Farmer@123,FARMER,Rohini Pawar,True
149,farmer58@krishi.com,9420071361,Farmer@123,FARMER,Arif Patil,True
150,farmer59@krishi.com,9847535601,Farmer@123,FARMER,Rohini Shaikh,True
151,farmer60@krishi.com,9656624390,Farmer@123,FARMER,Shriram Wagh,True
152,farmer61@krishi.com,9481925851,Farmer@123,FARMER,Rohini Wagh,True
153,farmer62@krishi.com,9671866729,Farmer@123,FARMER,Sunita Pawar,True
154,farmer63@krishi.com,9453975088,Farmer@123,FARMER,Arif Wagh,True
155,farmer64@krishi.com,9758448788,Farmer@123,FARMER,Rohini Wagh,True
